@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
231,'2016/10/31 13:05:53:108',4,0.915278,0.003333,0.99,0.24,0
232,'2016/10/31 13:05:53:127',4,0.915278,0.003333,0.99,0.24,0
233,'2016/10/31 13:05:53:148',4,0.915278,0.003333,0.99,0.24,0
234,'2016/10/31 13:05:53:168',4,0.915278,0.003333,0.99,0.24,0
235,'2016/10/31 13:05:53:188',4,0.915278,0.003333,0.99,0.24,0
236,'2016/10/31 13:05:53:208',4,0.913889,0.002222,0.99,0.24,0
237,'2016/10/31 13:05:53:228',4,0.909028,0,0.99,0.24,0
238,'2016/10/31 13:05:53:247',4,0.904167,0,0.99,0.24,0
239,'2016/10/31 13:05:53:269',4,0.891667,0,0.99,0.24,0
240,'2016/10/31 13:05:53:288',4,0.875694,0,0.99,0.24,0
241,'2016/10/31 13:05:53:308',4,0.850694,0,0.99,0.24,0
242,'2016/10/31 13:05:53:327',4,0.814583,0.022222,0.99,0.24,0
243,'2016/10/31 13:05:53:347',4,0.79375,0.047778,0.99,0.24,0
244,'2016/10/31 13:05:53:368',4,0.784722,0.07,0.99,0.24,0
245,'2016/10/31 13:05:53:388',4,0.781944,0.085556,0.99,0.24,0
246,'2016/10/31 13:05:53:407',4,0.779167,0.113333,0.99,0.24,0
247,'2016/10/31 13:05:53:434',4,0.799306,0.153333,0.99,0.24,0
248,'2016/10/31 13:05:53:448',4,0.815972,0.162222,0.99,0.24,0
249,'2016/10/31 13:05:53:471',4,0.839583,0.17,0.99,0.24,0
250,'2016/10/31 13:05:53:487',4,0.859028,0.171111,0.99,0.24,0
251,'2016/10/31 13:05:53:507',4,0.873611,0.171111,0.99,0.24,0
252,'2016/10/31 13:05:53:528',4,0.886111,0.155556,0.99,0.24,0
253,'2016/10/31 13:05:53:547',4,0.891667,0.135556,0.99,0.24,0
254,'2016/10/31 13:05:53:567',4,0.895139,0.067778,0.99,0.24,0
255,'2016/10/31 13:05:53:596',4,0.888889,0.047778,0.99,0.24,0
256,'2016/10/31 13:05:53:608',4,0.877083,0.031111,0.99,0.24,0
257,'2016/10/31 13:05:53:628',4,0.861111,0.021111,0.99,0.24,0
258,'2016/10/31 13:05:53:647',4,0.844444,0.017778,0.99,0.24,0
259,'2016/10/31 13:05:53:667',4,0.827778,0.017778,0.99,0.24,0
260,'2016/10/31 13:05:53:687',4,0.797917,0.046667,0.99,0.24,0
261,'2016/10/31 13:05:53:707',4,0.790972,0.066667,0.99,0.24,0
262,'2016/10/31 13:05:53:729',4,0.783333,0.094444,0.99,0.24,0
263,'2016/10/31 13:05:53:747',4,0.780556,0.123333,0.99,0.24,0
264,'2016/10/31 13:05:53:767',4,0.780556,0.154444,0.99,0.24,0
265,'2016/10/31 13:05:53:803',4,0.795833,0.203333,0.99,0.24,0
266,'2016/10/31 13:05:53:807',4,0.811806,0.217778,0.99,0.24,0
267,'2016/10/31 13:05:53:832',4,0.840278,0.222222,0.99,0.24,0
268,'2016/10/31 13:05:53:853',4,0.865972,0.214444,0.99,0.24,0
269,'2016/10/31 13:05:53:867',4,0.883333,0.192222,0.99,0.24,0
270,'2016/10/31 13:05:53:887',4,0.894444,0.158889,0.99,0.24,0
271,'2016/10/31 13:05:53:909',4,0.897917,0.125556,0.99,0.24,0
272,'2016/10/31 13:05:53:927',4,0.897917,0.095556,0.99,0.24,0
273,'2016/10/31 13:05:53:948',4,0.876389,0.044444,0.99,0.24,0
274,'2016/10/31 13:05:53:967',4,0.859028,0.035556,0.99,0.24,0
275,'2016/10/31 13:05:53:987',4,0.834722,0.034444,0.99,0.24,0
276,'2016/10/31 13:05:54:007',4,0.817361,0.044444,0.99,0.24,0
277,'2016/10/31 13:05:54:027',4,0.80625,0.061111,0.99,0.24,0
278,'2016/10/31 13:05:54:047',4,0.79375,0.083333,0.99,0.24,0
279,'2016/10/31 13:05:54:074',4,0.780556,0.126667,0.99,0.24,0
280,'2016/10/31 13:05:54:087',4,0.779861,0.148889,0.99,0.24,0
